组合码,国家,省州,市县,纬度,经度,人口数
"Linn, Missouri, US",US,Missouri,Linn,39.87001769,-93.10704106,11920
"Livingston, Missouri, US",US,Missouri,Livingston,39.78110272,-93.54645978,15227
"McDonald, Missouri, US",US,Missouri,McDonald,36.62869595,-94.34867205,22837
"Macon, Missouri, US",US,Missouri,Macon,39.83049768,-92.56453089,15117
"Madison, Missouri, US",US,Missouri,Madison,37.47865134,-90.3467143,12088
"Maries, Missouri, US",US,Missouri,Maries,38.16193985,-91.92249662,8697
"Marion, Missouri, US",US,Missouri,Marion,39.80601912,-91.62203062,28530
"Mercer, Missouri, US",US,Missouri,Mercer,40.42212303,-93.5682959,3617
"Miller, Missouri, US",US,Missouri,Miller,38.21450288,-92.42610898,25619
"Mississippi, Missouri, US",US,Missouri,Mississippi,36.82516239,-89.29505753,13180
"Moniteau, Missouri, US",US,Missouri,Moniteau,38.63571781,-92.57976951,16132
"Monroe, Missouri, US",US,Missouri,Monroe,39.49593978,-92.00043978,8644
"Montgomery, Missouri, US",US,Missouri,Montgomery,38.94022054,-91.47000721,11551
"Morgan, Missouri, US",US,Missouri,Morgan,38.4181765,-92.88791859,20627
"New Madrid, Missouri, US",US,Missouri,New Madrid,36.59666326,-89.66070007,17076
"Newton, Missouri, US",US,Missouri,Newton,36.90519407,-94.3394104,58236
"Nodaway, Missouri, US",US,Missouri,Nodaway,40.36079813,-94.88133008,22092
"Oregon, Missouri, US",US,Missouri,Oregon,36.68710164,-91.4033755,10529
"Osage, Missouri, US",US,Missouri,Osage,38.46036182,-91.8613635,13615
"Ozark, Missouri, US",US,Missouri,Ozark,36.64916339,-92.44459066,9174
"Pemiscot, Missouri, US",US,Missouri,Pemiscot,36.2130572,-89.78742322,15805
"Perry, Missouri, US",US,Missouri,Perry,37.70660776,-89.82741088,19136
"Pettis, Missouri, US",US,Missouri,Pettis,38.72798918,-93.28471706,42339
"Phelps, Missouri, US",US,Missouri,Phelps,37.87736118,-91.79351727,44573
"Pike, Missouri, US",US,Missouri,Pike,39.34310674,-91.16980779,18302
"Platte, Missouri, US",US,Missouri,Platte,39.38154439,-94.77068479,104418
"Polk, Missouri, US",US,Missouri,Polk,37.6162296,-93.39828174,32149
"Pulaski, Missouri, US",US,Missouri,Pulaski,37.82462075,-92.20783203,52607
"Putnam, Missouri, US",US,Missouri,Putnam,40.47942497,-93.02042674,4696
"Ralls, Missouri, US",US,Missouri,Ralls,39.52817427,-91.51838643,10309
"Randolph, Missouri, US",US,Missouri,Randolph,39.44007257,-92.4971374,24748
"Ray, Missouri, US",US,Missouri,Ray,39.3537468,-93.98905745,23018
"Reynolds, Missouri, US",US,Missouri,Reynolds,37.36085952,-90.97009925,6270
"Ripley, Missouri, US",US,Missouri,Ripley,36.65460667,-90.85990261,13288
"St. Charles, Missouri, US",US,Missouri,St. Charles,38.77875681,-90.66662425,402022
"St. Clair, Missouri, US",US,Missouri,St. Clair,38.03699437,-93.77631447,9397
"Ste. Genevieve, Missouri, US",US,Missouri,Ste. Genevieve,37.89090059,-90.1949941,17894
"St. Francois, Missouri, US",US,Missouri,St. Francois,37.81214171,-90.47598685,67215
"St. Louis, Missouri, US",US,Missouri,St. Louis,38.6377004,-90.4458375,994205
"Saline, Missouri, US",US,Missouri,Saline,39.13734288,-93.20259964,22761
"Schuyler, Missouri, US",US,Missouri,Schuyler,40.46921489,-92.52311943,4660
"Scotland, Missouri, US",US,Missouri,Scotland,40.45214695,-92.14709064,4902
"Scott, Missouri, US",US,Missouri,Scott,37.05588075,-89.56474493,38280
"Shannon, Missouri, US",US,Missouri,Shannon,37.15772072,-91.40190382,8166
"Shelby, Missouri, US",US,Missouri,Shelby,39.79742518,-92.07634971,5930
"Stoddard, Missouri, US",US,Missouri,Stoddard,36.85571651,-89.9444155,29025
"Stone, Missouri, US",US,Missouri,Stone,36.75000327,-93.45256475,31952
"Sullivan, Missouri, US",US,Missouri,Sullivan,40.2099105,-93.11150106,6089
"Taney, Missouri, US",US,Missouri,Taney,36.65465345,-93.04075153,55928
"Texas, Missouri, US",US,Missouri,Texas,37.31728859,-91.96564727,25398
"Vernon, Missouri, US",US,Missouri,Vernon,37.8457799,-94.34127305,20563
"Warren, Missouri, US",US,Missouri,Warren,38.76529479,-91.16124662,35649
"Washington, Missouri, US",US,Missouri,Washington,37.96130078,-90.87948158,24730
"Wayne, Missouri, US",US,Missouri,Wayne,37.11303869,-90.46001416,12873
"Webster, Missouri, US",US,Missouri,Webster,37.2813734,-92.876329,39592
"Worth, Missouri, US",US,Missouri,Worth,40.47945588,-94.42328751,2013
"Wright, Missouri, US",US,Missouri,Wright,37.27029221,-92.46914488,18289
"St. Louis City, Missouri, US",US,Missouri,St. Louis City,38.63555736,-90.24349225,300576
"Beaverhead, Montana, US",US,Montana,Beaverhead,45.13434354,-112.8984694,9453
"Big Horn, Montana, US",US,Montana,Big Horn,45.42335905,-107.492347,13319
"Blaine, Montana, US",US,Montana,Blaine,48.43175214,-108.9582723,6681
"Broadwater, Montana, US",US,Montana,Broadwater,46.33277565,-111.4955813,6237
"Carbon, Montana, US",US,Montana,Carbon,45.22850116,-109.0274047,10725
"Carter, Montana, US",US,Montana,Carter,45.5197966,-104.5395536,1252
"Cascade, Montana, US",US,Montana,Cascade,47.30797024,-111.3467922,81366
"Chouteau, Montana, US",US,Montana,Chouteau,47.88084126,-110.4353362,5635
"Custer, Montana, US",US,Montana,Custer,46.25319932,-105.5737526,11402
"Daniels, Montana, US",US,Montana,Daniels,48.78420029,-105.5476343,1690
"Dawson, Montana, US",US,Montana,Dawson,47.26584855,-104.8944417,8613
"Deer Lodge, Montana, US",US,Montana,Deer Lodge,46.05953325,-113.073353,9140
"Fallon, Montana, US",US,Montana,Fallon,46.33478338,-104.4183565,2846
"Fergus, Montana, US",US,Montana,Fergus,47.26331584,-109.2245206,11050
"Flathead, Montana, US",US,Montana,Flathead,48.29575866,-114.0520569,103806
"Gallatin, Montana, US",US,Montana,Gallatin,45.54486106,-111.1692571,114434
"Garfield, Montana, US",US,Montana,Garfield,47.27545948,-107.0002351,1258
"Glacier, Montana, US",US,Montana,Glacier,48.70513576,-112.9934235,13753
"Golden Valley, Montana, US",US,Montana,Golden Valley,46.3816474,-109.1768522,821
"Granite, Montana, US",US,Montana,Granite,46.4060522,-113.4414186,3379
"Hill, Montana, US",US,Montana,Hill,48.62879827,-110.1129252,16484
"Jefferson, Montana, US",US,Montana,Jefferson,46.14907081,-112.094396,12221
"Judith Basin, Montana, US",US,Montana,Judith Basin,47.04581276,-110.2660688,2007
"Lake, Montana, US",US,Montana,Lake,47.64514965,-114.0898013,30458
"Lewis and Clark, Montana, US",US,Montana,Lewis and Clark,47.12610041,-112.394698,69432
"Liberty, Montana, US",US,Montana,Liberty,48.56084317,-111.024307,2337
"Lincoln, Montana, US",US,Montana,Lincoln,48.54265777,-115.4046155,19980
"McCone, Montana, US",US,Montana,McCone,47.64469406,-105.7944994,1664
"Madison, Montana, US",US,Montana,Madison,45.30080065,-111.9173017,8600
"Meagher, Montana, US",US,Montana,Meagher,46.59907074,-110.8898557,1862
"Mineral, Montana, US",US,Montana,Mineral,47.15283992,-115.0015239,4397
"Missoula, Montana, US",US,Montana,Missoula,47.03728583,-113.9213508,119600
"Musselshell, Montana, US",US,Montana,Musselshell,46.49684637,-108.39498,4633
"Park, Montana, US",US,Montana,Park,45.48965095,-110.5264394,16606
"Petroleum, Montana, US",US,Montana,Petroleum,47.1182463,-108.2508876,487
"Phillips, Montana, US",US,Montana,Phillips,48.25936577,-107.9128511,3954
"Pondera, Montana, US",US,Montana,Pondera,48.22773388,-112.2252703,5911
"Powder River, Montana, US",US,Montana,Powder River,45.39617714,-105.636738,1682
"Powell, Montana, US",US,Montana,Powell,46.85538891,-112.9359164,6890
"Prairie, Montana, US",US,Montana,Prairie,46.86048047,-105.379384,1077
"Ravalli, Montana, US",US,Montana,Ravalli,46.08520862,-114.1189164,43806
"Richland, Montana, US",US,Montana,Richland,47.78668011,-104.5610786,10803
"Roosevelt, Montana, US",US,Montana,Roosevelt,48.29607488,-105.0079268,11004
"Rosebud, Montana, US",US,Montana,Rosebud,46.23397237,-106.729288,8937
"Sanders, Montana, US",US,Montana,Sanders,47.67657534,-115.1329916,12113
"Sheridan, Montana, US",US,Montana,Sheridan,48.72085833,-104.503829,3309
"Silver Bow, Montana, US",US,Montana,Silver Bow,45.90018933,-112.6620092,34915
"Stillwater, Montana, US",US,Montana,Stillwater,45.67071407,-109.3950061,9642
"Sweet Grass, Montana, US",US,Montana,Sweet Grass,45.81367654,-109.9425686,3737
"Teton, Montana, US",US,Montana,Teton,47.83741052,-112.2410688,6147
"Toole, Montana, US",US,Montana,Toole,48.65577551,-111.6942414,4736
"Treasure, Montana, US",US,Montana,Treasure,46.2097322,-107.2666516,696
"Valley, Montana, US",US,Montana,Valley,48.36435097,-106.6669635,7396
"Wheatland, Montana, US",US,Montana,Wheatland,46.46652491,-109.8464636,2126
"Wibaux, Montana, US",US,Montana,Wibaux,46.95925154,-104.2510927,969
"Yellowstone, Montana, US",US,Montana,Yellowstone,45.93955949,-108.2691486,161300
"Adams, Nebraska, US",US,Nebraska,Adams,40.5244942,-98.50117804,31363
"Antelope, Nebraska, US",US,Nebraska,Antelope,42.17695516,-98.0666283,6298
"Arthur, Nebraska, US",US,Nebraska,Arthur,41.56896142,-101.6959559,463
"Banner, Nebraska, US",US,Nebraska,Banner,41.54634427,-103.7114332,745
"Blaine, Nebraska, US",US,Nebraska,Blaine,41.91311716,-99.97677845,465
"Boone, Nebraska, US",US,Nebraska,Boone,41.70759415,-98.06737183,5192
"Box Butte, Nebraska, US",US,Nebraska,Box Butte,42.22079243,-103.0878834,10783
"Boyd, Nebraska, US",US,Nebraska,Boyd,42.8997274,-98.76486568,1919
"Brown, Nebraska, US",US,Nebraska,Brown,42.43018907,-99.92904055,2955
"Buffalo, Nebraska, US",US,Nebraska,Buffalo,40.85486962,-99.07500296,49659
"Burt, Nebraska, US",US,Nebraska,Burt,41.85056773,-96.32605633,6459
"Butler, Nebraska, US",US,Nebraska,Butler,41.22703692,-97.13106306,8016
"Cass, Nebraska, US",US,Nebraska,Cass,40.90899107,-96.13971217,26248
"Cedar, Nebraska, US",US,Nebraska,Cedar,42.5988851,-97.25311951,8402
"Chase, Nebraska, US",US,Nebraska,Chase,40.5237198,-101.6978026,3924
"Cherry, Nebraska, US",US,Nebraska,Cherry,42.54502621,-101.1244332,5689
"Cheyenne, Nebraska, US",US,Nebraska,Cheyenne,41.21999357,-102.9941693,8910
"Clay, Nebraska, US",US,Nebraska,Clay,40.52439441,-98.05126296,6203
"Colfax, Nebraska, US",US,Nebraska,Colfax,41.57486951,-97.0868542,10709
"Cuming, Nebraska, US",US,Nebraska,Cuming,41.91637624,-96.78730772,8846
"Custer, Nebraska, US",US,Nebraska,Custer,41.39374521,-99.72805369,10777
"Dakota, Nebraska, US",US,Nebraska,Dakota,42.39040144,-96.56656425,20026
"Dawes, Nebraska, US",US,Nebraska,Dawes,42.71985036,-103.1313774,8589
"Dawson, Nebraska, US",US,Nebraska,Dawson,40.87028216,-99.8201461,23595
"Deuel, Nebraska, US",US,Nebraska,Deuel,41.11168186,-102.3333331,1794
"Dixon, Nebraska, US",US,Nebraska,Dixon,42.49188363,-96.86782408,5636
"Dodge, Nebraska, US",US,Nebraska,Dodge,41.58071748,-96.65598179,36565
"Douglas, Nebraska, US",US,Nebraska,Douglas,41.29518299,-96.15085305,571327
"Dundy, Nebraska, US",US,Nebraska,Dundy,40.17638677,-101.6876522,1693
"Fillmore, Nebraska, US",US,Nebraska,Fillmore,40.52458567,-97.59646937,5462
"Franklin, Nebraska, US",US,Nebraska,Franklin,40.17636348,-98.95299073,2979
"Frontier, Nebraska, US",US,Nebraska,Frontier,40.52993007,-100.3924658,2627
"Furnas, Nebraska, US",US,Nebraska,Furnas,40.17642064,-99.91247454,4676
"Gage, Nebraska, US",US,Nebraska,Gage,40.26186809,-96.68946704,21513
"Garden, Nebraska, US",US,Nebraska,Garden,41.61703149,-102.3313973,1837
"Garfield, Nebraska, US",US,Nebraska,Garfield,41.91428955,-98.99111827,1969
"Gosper, Nebraska, US",US,Nebraska,Gosper,40.51481965,-99.83020279,1990
"Grant, Nebraska, US",US,Nebraska,Grant,41.91528587,-101.740701,623
"Greeley, Nebraska, US",US,Nebraska,Greeley,41.56742671,-98.52150266,2356
"Hall, Nebraska, US",US,Nebraska,Hall,40.87257079,-98.50218293,61353
"Hamilton, Nebraska, US",US,Nebraska,Hamilton,40.87349452,-98.02099117,9324
"Harlan, Nebraska, US",US,Nebraska,Harlan,40.17658508,-99.40438879,3380
"Hayes, Nebraska, US",US,Nebraska,Hayes,40.52451972,-101.0603568,922
"Hitchcock, Nebraska, US",US,Nebraska,Hitchcock,40.17609175,-101.0416477,2762
"Holt, Nebraska, US",US,Nebraska,Holt,42.45522056,-98.78402558,10067
"Hooker, Nebraska, US",US,Nebraska,Hooker,41.91586243,-101.1354293,682
"Howard, Nebraska, US",US,Nebraska,Howard,41.2200529,-98.5166499,6445
"Jefferson, Nebraska, US",US,Nebraska,Jefferson,40.17584531,-97.142601,7046
"Johnson, Nebraska, US",US,Nebraska,Johnson,40.39257596,-96.26522753,5071
"Kearney, Nebraska, US",US,Nebraska,Kearney,40.50663314,-98.94877182,6495
"Keith, Nebraska, US",US,Nebraska,Keith,41.19930341,-101.6620164,8034
"Keya Paha, Nebraska, US",US,Nebraska,Keya Paha,42.87990694,-99.71343729,806
"Kimball, Nebraska, US",US,Nebraska,Kimball,41.19774275,-103.7148131,3632
"Knox, Nebraska, US",US,Nebraska,Knox,42.63758421,-97.89178836,8332
"Lancaster, Nebraska, US",US,Nebraska,Lancaster,40.78416049,-96.68777155,319090
"Lincoln, Nebraska, US",US,Nebraska,Lincoln,41.04658298,-100.7475374,34914
"Logan, Nebraska, US",US,Nebraska,Logan,41.56650314,-100.4817851,748
"Loup, Nebraska, US",US,Nebraska,Loup,41.91371961,-99.45440415,664
"McPherson, Nebraska, US",US,Nebraska,McPherson,41.56797682,-101.0599362,494
"Madison, Nebraska, US",US,Nebraska,Madison,41.91676024,-97.6005481,35099
"Merrick, Nebraska, US",US,Nebraska,Merrick,41.16624273,-98.0374887,7755
"Morrill, Nebraska, US",US,Nebraska,Morrill,41.71711774,-103.0061405,4642
"Nance, Nebraska, US",US,Nebraska,Nance,41.39750195,-97.99327291,3519
"Nemaha, Nebraska, US",US,Nebraska,Nemaha,40.38514847,-95.85433992,6972
"Nuckolls, Nebraska, US",US,Nebraska,Nuckolls,40.17637905,-98.04743961,4148
"Otoe, Nebraska, US",US,Nebraska,Otoe,40.64843556,-96.13374142,16012
"Pawnee, Nebraska, US",US,Nebraska,Pawnee,40.13141096,-96.23705437,2613
"Perkins, Nebraska, US",US,Nebraska,Perkins,40.85082525,-101.6502942,2891
"Phelps, Nebraska, US",US,Nebraska,Phelps,40.51156033,-99.41461667,9034
"Pierce, Nebraska, US",US,Nebraska,Pierce,42.26434853,-97.60122773,7148
"Platte, Nebraska, US",US,Nebraska,Platte,41.57246836,-97.52144359,33470
"Polk, Nebraska, US",US,Nebraska,Polk,41.18813488,-97.56630712,5213
"Red Willow, Nebraska, US",US,Nebraska,Red Willow,40.1755688,-100.476998,10724
"Richardson, Nebraska, US",US,Nebraska,Richardson,40.1247415,-95.71755036,7865
"Rock, Nebraska, US",US,Nebraska,Rock,42.42252217,-99.44832069,1357
"Saline, Nebraska, US",US,Nebraska,Saline,40.52418865,-97.14085859,14224
"Sarpy, Nebraska, US",US,Nebraska,Sarpy,41.11314181,-96.11156432,187196
"Saunders, Nebraska, US",US,Nebraska,Saunders,41.2278103,-96.63773905,21578
"Scotts Bluff, Nebraska, US",US,Nebraska,Scotts Bluff,41.85070896,-103.7080986,35618
"Seward, Nebraska, US",US,Nebraska,Seward,40.87241834,-97.139673,17284
"Sheridan, Nebraska, US",US,Nebraska,Sheridan,42.50284406,-102.4126613,5246
"Sherman, Nebraska, US",US,Nebraska,Sherman,41.22045983,-98.97588642,3001
"Sioux, Nebraska, US",US,Nebraska,Sioux,42.48932059,-103.7576544,1166
"Stanton, Nebraska, US",US,Nebraska,Stanton,41.9169835,-97.19394708,5920
"Thayer, Nebraska, US",US,Nebraska,Thayer,40.17626377,-97.59504381,5003
"Thomas, Nebraska, US",US,Nebraska,Thomas,41.91358968,-100.5556632,722
"Thurston, Nebraska, US",US,Nebraska,Thurston,42.15725356,-96.54157099,7224
"Valley, Nebraska, US",US,Nebraska,Valley,41.56730777,-98.98197724,4158
"Washington, Nebraska, US",US,Nebraska,Washington,41.52815707,-96.22019892,20729
"Wayne, Nebraska, US",US,Nebraska,Wayne,42.20934475,-97.11926964,9385
"Webster, Nebraska, US",US,Nebraska,Webster,40.17642643,-98.50019851,3487
"Wheeler, Nebraska, US",US,Nebraska,Wheeler,41.91482725,-98.52798941,783
"York, Nebraska, US",US,Nebraska,York,40.87272618,-97.59710186,13679
"Churchill, Nevada, US",US,Nevada,Churchill,39.58105744,-118.3394607,24909
"Clark, Nevada, US",US,Nevada,Clark,36.21458855,-115.0130241,2266715
"Douglas, Nevada, US",US,Nevada,Douglas,38.912862,-119.6171333,48905
"Elko, Nevada, US",US,Nevada,Elko,41.14531606,-115.3577619,52778
"Esmeralda, Nevada, US",US,Nevada,Esmeralda,37.78436681,-117.6319999,873
"Eureka, Nevada, US",US,Nevada,Eureka,39.98100864,-116.2683204,2029
"Humboldt, Nevada, US",US,Nevada,Humboldt,41.40692186,-118.1109427,16831
"Lander, Nevada, US",US,Nevada,Lander,39.9332233,-117.0397075,5532
"Lincoln, Nevada, US",US,Nevada,Lincoln,37.64268459,-114.8790388,5183
"Lyon, Nevada, US",US,Nevada,Lyon,39.01777974,-119.1870479,57510
"Mineral, Nevada, US",US,Nevada,Mineral,38.53841696,-118.4344506,4505
"Nye, Nevada, US",US,Nevada,Nye,38.04264256,-116.4722702,46523
"Pershing, Nevada, US",US,Nevada,Pershing,40.44003782,-118.4005641,6725
"Storey, Nevada, US",US,Nevada,Storey,39.44875482,-119.5250207,4123
"Washoe, Nevada, US",US,Nevada,Washoe,40.66562265,-119.6631594,471519
"White Pine, Nevada, US",US,Nevada,White Pine,39.44157041,-114.899966,9580
"Carson City, Nevada, US",US,Nevada,Carson City,39.15509045,-119.7480219,55916
"Belknap, New Hampshire, US",US,New Hampshire,Belknap,43.51637314,-71.41684235,61303
"Carroll, New Hampshire, US",US,New Hampshire,Carroll,43.87498583,-71.20430216,48910
"Cheshire, New Hampshire, US",US,New Hampshire,Cheshire,42.92015988,-72.25311043,76085
"Coos, New Hampshire, US",US,New Hampshire,Coos,44.69063265,-71.30633239,31563
"Grafton, New Hampshire, US",US,New Hampshire,Grafton,43.93779815,-71.82057197,89886
"Hillsborough, New Hampshire, US",US,New Hampshire,Hillsborough,42.91537785,-71.7200253,417025
"Merrimack, New Hampshire, US",US,New Hampshire,Merrimack,43.29662971,-71.6811573,151391
"Rockingham, New Hampshire, US",US,New Hampshire,Rockingham,42.98499744,-71.12883377,309769
"Strafford, New Hampshire, US",US,New Hampshire,Strafford,43.291833,-71.02336013,130633
"Sullivan, New Hampshire, US",US,New Hampshire,Sullivan,43.36094111,-72.22203125,43146
"Atlantic, New Jersey, US",US,New Jersey,Atlantic,39.47538693,-74.65848483,263670
"Bergen, New Jersey, US",US,New Jersey,Bergen,40.96010917,-74.07164325,932202
"Burlington, New Jersey, US",US,New Jersey,Burlington,39.87681124,-74.66927768,445349
"Camden, New Jersey, US",US,New Jersey,Camden,39.80343818,-74.96388753,506471
"Cape May, New Jersey, US",US,New Jersey,Cape May,39.15008829,-74.80170244,92039
"Cumberland, New Jersey, US",US,New Jersey,Cumberland,39.37199394,-75.10712559,149527
"Essex, New Jersey, US",US,New Jersey,Essex,40.78681335,-74.24657979,798975
"Gloucester, New Jersey, US",US,New Jersey,Gloucester,39.71581067,-75.13995546,291636
"Hudson, New Jersey, US",US,New Jersey,Hudson,40.73766234,-74.07515667,672391
"Hunterdon, New Jersey, US",US,New Jersey,Hunterdon,40.56335249,-74.91284156,124371
"Mercer, New Jersey, US",US,New Jersey,Mercer,40.28047017,-74.70479631,367430
"Middlesex, New Jersey, US",US,New Jersey,Middlesex,40.43629879,-74.41426991,825062
"Monmouth, New Jersey, US",US,New Jersey,Monmouth,40.26549699,-74.22240686,618795
"Morris, New Jersey, US",US,New Jersey,Morris,40.86095313,-74.5455371,491845
"Ocean, New Jersey, US",US,New Jersey,Ocean,39.8895449,-74.28089251,607186
"Passaic, New Jersey, US",US,New Jersey,Passaic,41.03238628,-74.29954144,501826
"Salem, New Jersey, US",US,New Jersey,Salem,39.58719656,-75.3469663,62385
"Somerset, New Jersey, US",US,New Jersey,Somerset,40.56465737,-74.61683016,328934
"Sussex, New Jersey, US",US,New Jersey,Sussex,41.13891592,-74.69118243,140488
"Union, New Jersey, US",US,New Jersey,Union,40.65835409,-74.30680092,556341
"Warren, New Jersey, US",US,New Jersey,Warren,40.85951833,-74.99556527,105267
"Bernalillo, New Mexico, US",US,New Mexico,Bernalillo,35.05163625,-106.6703554,679121
"Catron, New Mexico, US",US,New Mexico,Catron,33.91514144,-108.4046587,3527
"Chaves, New Mexico, US",US,New Mexico,Chaves,33.36406072,-104.4665365,64615
"Cibola, New Mexico, US",US,New Mexico,Cibola,34.91131525,-107.998876,26675
"Colfax, New Mexico, US",US,New Mexico,Colfax,36.60569702,-104.6472674,11941
"Curry, New Mexico, US",US,New Mexico,Curry,34.57421077,-103.3468876,48954
"De Baca, New Mexico, US",US,New Mexico,De Baca,34.34274529,-104.4117842,1748
"Dona Ana, New Mexico, US",US,New Mexico,Dona Ana,32.35275771,-106.8329387,218195
"Eddy, New Mexico, US",US,New Mexico,Eddy,32.47167456,-104.3053527,58460
"Grant, New Mexico, US",US,New Mexico,Grant,32.73911281,-108.3827845,26998
"Guadalupe, New Mexico, US",US,New Mexico,Guadalupe,34.86319296,-104.790669,4300
